checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
3,12,3,2,4675,4,2,1,0,2,4,3,20,1,2,1,3,1,0,1,1
3,10,3,1,1287,4,3,4,3,0,2,0,45,1,1,1,2,1,0,0,1
3,18,3,5,2515,2,0,3,3,2,4,2,43,1,1,1,3,1,1,1,1
0,21,1,5,2745,3,1,3,3,2,2,3,32,1,1,2,3,1,1,1,1
3,6,3,1,672,2,4,1,0,2,4,2,54,1,1,1,1,1,1,1,1
0,36,4,7,3804,2,0,4,0,2,1,3,42,1,1,1,3,1,1,1,0
2,24,1,1,1344,4,1,4,3,2,2,2,37,0,1,2,2,2,0,1,0
1,10,1,1,1038,2,1,4,3,0,3,0,49,1,1,2,3,1,1,1,1
3,48,1,1,10127,1,0,2,3,2,2,1,44,0,0,1,3,1,0,1,0
3,6,3,5,1543,3,0,4,1,2,2,2,33,1,1,1,3,1,0,1,1
3,30,3,2,4811,4,1,2,0,2,4,0,24,2,2,1,2,1,0,1,1
1,12,3,7,727,0,2,4,2,2,3,1,33,1,1,1,2,1,1,1,0
0,8,3,5,1237,2,0,3,0,2,4,2,24,1,1,1,3,1,0,1,0
0,9,3,1,276,2,0,4,2,2,4,2,22,1,2,1,2,1,0,1,1
0,48,3,6,5381,4,4,3,3,2,4,1,40,0,0,1,1,1,1,1,1
3,24,3,5,5511,0,0,4,3,2,1,3,25,2,1,1,3,1,0,1,1
2,24,3,5,3749,2,2,2,0,2,4,3,26,1,1,1,3,1,0,1,1
0,12,3,1,685,2,1,2,2,2,3,3,25,0,1,1,2,1,0,1,0
2,4,3,1,1494,4,2,1,3,2,2,2,29,1,1,1,2,2,0,0,1
1,36,0,5,2746,2,3,4,3,2,4,3,31,0,1,1,3,1,0,1,0
1,12,3,5,708,2,0,2,3,1,3,0,38,1,1,1,2,2,0,1,1
0,24,3,5,4351,4,0,1,0,2,4,0,48,1,1,1,2,1,1,1,1
3,12,1,4,701,2,0,4,3,2,2,3,32,1,1,2,3,1,0,1,1
1,15,2,5,3643,2,3,1,0,2,4,0,27,1,1,2,2,1,0,1,1
0,30,1,1,4249,2,4,4,2,2,2,3,28,1,1,2,0,1,0,1,0
1,24,3,7,1938,2,2,4,1,2,3,0,32,1,1,1,3,1,0,1,0
1,24,3,2,2910,2,1,2,3,2,1,1,34,1,0,1,0,1,1,1,1
1,18,3,5,2659,3,0,4,3,2,2,3,28,1,1,1,3,1,0,1,1
3,18,1,1,1028,2,0,4,0,2,3,2,36,1,1,2,3,1,0,1,1
1,8,1,1,3398,2,1,1,3,2,4,2,39,1,1,2,2,1,0,0,1
3,12,1,5,5801,4,3,2,3,2,4,0,49,1,2,1,3,1,1,1,1
3,24,3,1,1525,3,1,4,0,2,3,3,34,1,1,1,3,2,1,1,1
2,36,3,7,4473,2,3,4,3,2,2,3,31,1,1,1,3,1,0,1,1
0,6,3,7,1068,2,3,4,3,2,4,3,28,1,1,1,3,2,0,1,1
1,24,1,2,6615,2,4,2,3,2,4,1,75,1,0,2,0,1,1,1,1
3,18,1,4,1864,0,0,4,0,2,2,2,30,1,1,2,3,1,0,1,0
0,60,3,1,7408,0,2,4,0,2,2,0,24,1,1,1,0,1,0,1,0
3,48,1,2,11590,0,0,2,0,2,4,3,24,0,2,2,2,1,0,1,0
1,24,4,5,4110,2,3,3,3,2,4,1,23,0,2,2,3,2,0,1,0
1,6,1,5,3384,2,0,1,1,2,4,2,44,1,2,1,0,1,1,1,0
0,13,3,7,2101,2,2,2,0,1,4,0,23,1,1,1,2,1,0,1,1
1,15,3,0,1275,4,0,4,0,2,2,3,24,1,2,1,3,1,0,1,0
1,24,3,5,4169,2,0,4,3,2,4,0,28,1,1,1,3,1,0,1,1
0,10,3,5,1521,2,0,4,1,2,2,3,31,1,1,1,2,1,0,1,1
0,24,1,4,5743,2,2,2,0,2,4,1,24,1,0,2,3,1,1,1,1
1,21,3,5,3599,2,1,1,0,2,4,3,26,1,2,1,2,1,0,1,1
0,18,3,7,3213,1,2,1,2,2,3,2,25,1,2,1,3,1,0,1,1
0,18,3,3,4439,2,3,1,3,0,1,2,33,0,1,1,0,1,1,1,1
2,10,3,1,3949,2,2,1,3,1,1,0,37,1,1,1,2,2,0,1,1
3,15,1,7,1459,2,0,4,0,2,2,3,43,1,1,1,2,1,0,1,1
0,13,1,7,882,2,2,4,3,1,4,2,23,1,1,2,3,1,0,1,1
0,24,3,7,3758,1,4,1,0,2,4,1,23,1,2,1,1,1,0,1,1
3,6,2,3,1743,0,0,1,3,2,2,2,34,1,1,2,2,1,0,1,1
0,9,1,4,1136,3,3,4,3,2,3,1,32,1,0,2,3,2,0,1,0
3,9,3,0,1236,2,2,1,0,2,4,2,23,1,2,1,3,1,1,1,1
0,9,3,5,959,2,0,1,0,2,2,3,29,1,1,1,3,1,0,0,0
3,18,1,2,3229,4,4,2,3,2,4,1,38,1,1,1,0,1,1,1,1
1,12,4,7,6199,2,0,4,3,2,2,0,28,1,2,2,3,1,1,1,0
3,10,3,4,727,1,3,4,3,2,4,1,46,1,0,1,3,1,1,1,1
0,24,3,1,1246,2,2,4,3,2,2,2,23,2,1,1,2,1,0,1,0
3,12,1,7,2331,4,3,1,3,0,4,2,49,1,1,1,3,1,1,1,1
3,36,2,7,4463,2,0,4,3,2,2,3,26,1,1,2,0,1,1,1,0
3,12,3,7,776,2,0,4,2,2,2,2,28,1,1,1,3,1,0,1,1
1,30,3,5,2406,2,1,4,0,2,4,2,23,1,2,1,3,1,0,1,0
0,18,3,4,1239,4,0,4,3,2,4,1,61,1,0,1,3,1,0,1,1
2,12,3,7,3399,4,3,2,3,2,3,3,37,1,1,1,0,1,0,1,1
2,12,2,1,2247,2,0,2,0,2,2,3,36,2,1,2,3,1,1,1,1
3,6,3,5,1766,2,0,1,2,2,2,0,21,1,2,1,3,1,0,1,1
1,18,3,5,2473,2,4,4,3,2,1,3,25,1,1,1,1,1,0,1,0
3,12,3,3,1542,2,1,2,3,2,4,3,36,1,1,1,3,1,1,1,1
3,18,1,2,3850,2,1,3,3,2,1,3,27,1,1,2,3,1,0,1,1
1,18,3,5,3650,2,2,1,0,2,4,3,22,1,2,1,3,1,0,1,1
1,36,3,5,3446,2,3,4,3,2,2,3,42,1,1,1,3,2,0,1,0
0,18,3,5,3001,2,1,2,0,2,4,2,40,1,2,1,3,1,0,1,1
3,36,3,1,3079,4,0,4,3,2,4,2,36,1,1,1,3,1,0,1,1
3,18,1,7,6070,2,3,3,3,2,4,3,33,1,1,2,3,1,1,1,1
3,10,1,5,2146,2,2,1,0,2,3,2,23,1,2,2,3,1,0,1,1
3,60,1,1,13756,4,3,2,3,2,4,1,63,0,0,1,0,1,1,1,1
0,60,0,6,14782,0,3,3,0,2,4,1,60,0,0,2,0,1,1,1,0
1,48,0,3,7685,2,1,2,0,1,4,3,37,1,2,1,3,1,0,1,0
3,18,2,7,2320,2,4,2,2,2,3,2,34,1,1,2,3,1,0,1,1
3,7,2,7,846,4,3,3,3,2,4,1,36,1,0,1,3,1,0,1,1
0,36,3,1,14318,2,3,4,3,2,2,1,57,1,0,1,0,1,1,1,0
3,6,1,1,362,0,0,4,0,2,4,3,52,1,1,2,2,1,0,1,1
1,20,3,5,2212,4,1,4,3,2,4,3,39,1,1,1,3,1,1,1,1
0,18,3,2,12976,2,4,3,0,2,4,1,38,1,0,1,0,1,1,1,0
3,22,3,1,1283,4,1,4,0,2,4,0,25,1,2,1,3,1,0,1,1
2,12,3,1,1330,2,2,4,3,2,1,2,26,1,1,1,3,1,0,1,1
3,30,2,3,4272,0,0,2,3,2,2,0,26,1,1,2,2,1,0,1,1
3,18,1,7,2238,2,0,2,0,2,1,3,25,1,1,2,3,1,0,1,1
3,18,3,7,1126,4,2,4,0,2,2,2,21,1,2,1,3,1,1,1,1
0,18,1,5,7374,2,4,4,3,2,4,0,40,2,1,2,0,1,1,1,1
0,15,1,3,2326,1,0,2,3,2,4,3,27,0,1,1,3,1,0,1,1
3,9,3,3,1449,2,1,3,0,2,2,3,27,1,1,2,3,1,0,1,1
3,18,3,1,1820,2,0,2,2,2,2,0,30,1,1,1,0,1,1,1,1
0,12,3,5,983,3,2,1,0,2,4,2,19,1,2,1,2,1,0,1,1
1,36,3,1,3249,2,1,2,3,2,4,1,39,0,0,1,0,2,1,1,1
1,6,1,7,1957,2,1,1,0,2,4,3,31,1,1,1,3,1,0,1,1
3,9,1,5,2406,2,4,2,3,2,3,3,31,1,1,1,0,1,0,1,1
0,39,2,4,11760,0,1,2,3,2,3,1,32,1,2,1,3,1,1,1,1
1,12,3,5,2578,2,4,3,0,2,4,1,55,1,0,1,0,1,0,1,1
1,36,1,5,2348,2,0,3,2,2,2,0,46,1,1,2,3,1,1,1,1
0,12,3,1,1223,2,3,1,1,2,1,2,46,1,2,2,3,1,0,1,0
3,24,1,7,1516,3,0,4,0,2,1,2,43,1,1,2,2,1,0,1,1
3,18,3,7,1473,2,2,3,2,2,4,2,39,1,1,1,3,1,1,1,1
0,18,1,3,1887,4,0,4,2,2,4,2,28,0,1,2,3,1,0,1,1
3,24,2,3,8648,2,2,2,3,2,2,3,27,0,1,2,3,1,1,1,0
3,14,2,1,802,2,0,4,3,2,2,3,27,1,1,2,2,1,0,1,1
0,18,2,1,2899,4,3,4,3,2,4,3,43,1,1,1,3,2,0,1,1
0,24,3,7,2039,2,2,1,2,2,1,0,22,1,1,1,3,1,1,1,0
3,24,1,2,2197,4,1,4,3,2,4,3,43,1,1,2,3,2,1,1,1
1,15,3,7,1053,2,2,4,2,2,2,2,27,1,1,1,3,1,0,0,1
3,24,3,7,3235,1,3,3,1,2,2,3,26,1,1,1,0,1,1,1,1
2,12,1,1,939,1,1,4,2,2,2,2,28,1,1,3,3,1,1,1,0
0,24,3,7,1967,2,3,4,0,2,4,3,20,1,1,1,3,1,1,1,1
3,33,1,2,7253,2,1,3,3,2,2,3,35,1,1,2,0,1,1,1,1
3,12,1,3,2292,2,4,4,3,2,2,3,42,2,1,2,0,1,1,1,0
3,10,3,1,1597,1,0,3,3,2,2,1,40,1,2,1,2,2,0,0,1
1,24,3,1,1381,4,0,4,0,2,2,0,35,1,1,1,3,1,0,1,0
3,36,1,2,5842,2,3,2,3,2,2,0,35,1,1,2,3,2,1,1,1
1,12,3,1,2579,2,2,4,3,2,1,2,33,1,1,1,2,2,0,1,0
1,18,2,4,8471,4,0,1,0,2,2,3,23,1,2,2,3,1,1,1,1
3,21,3,1,2782,1,1,1,0,2,2,3,31,0,1,1,0,1,0,1,1
0,18,3,1,1042,4,0,4,0,2,2,0,33,1,1,1,3,1,0,1,0
3,15,3,1,3186,3,1,2,0,2,3,3,20,1,2,1,3,1,0,1,1
0,12,3,2,2028,4,0,4,3,2,2,3,30,1,1,1,3,1,0,1,1
0,12,1,1,958,2,1,2,3,2,3,2,47,1,1,2,2,2,0,1,1
3,21,2,5,1591,0,1,4,3,2,3,2,34,1,1,2,0,1,0,1,1
0,12,3,5,2762,4,3,1,0,2,2,0,25,0,1,1,3,1,1,1,0
0,18,3,2,2779,2,0,1,2,2,3,3,21,1,2,1,3,1,1,1,1
3,28,1,7,2743,2,3,4,3,2,2,3,29,1,1,2,3,1,0,1,1
3,18,1,7,1149,3,0,4,3,2,3,2,46,1,1,2,3,1,0,1,1
3,9,3,5,1313,2,3,1,3,2,4,3,20,1,1,1,3,1,0,1,1
1,18,1,8,1190,2,4,2,0,2,4,1,55,1,0,3,1,2,0,1,0
3,5,3,3,3448,2,1,1,3,2,4,2,74,1,1,1,2,1,0,1,1
0,24,3,6,11328,2,0,2,3,0,3,3,29,0,1,2,0,1,1,1,0
1,6,1,5,1872,2,4,4,3,2,4,1,36,1,0,3,0,1,1,1,1
3,24,1,8,2058,2,0,4,1,2,2,2,33,1,1,2,3,1,1,1,1
1,9,3,5,2136,2,0,3,3,2,2,2,25,1,1,1,3,1,0,1,1
0,12,3,7,1484,4,0,2,2,2,1,2,25,1,1,1,3,1,1,1,0
3,6,3,8,660,1,1,2,2,2,4,2,23,1,2,1,2,1,0,1,1
3,24,1,1,1287,3,3,4,0,2,4,2,37,1,1,2,3,1,1,1,1
1,42,1,8,3394,2,4,4,3,0,4,3,65,1,1,2,1,1,0,1,1
2,12,0,3,609,2,2,4,0,2,1,2,26,1,1,1,1,1,0,1,0
3,12,3,1,1884,2,3,4,3,2,4,3,39,1,1,1,0,1,1,1,1
1,12,3,5,1620,2,0,2,0,0,3,0,30,1,1,1,3,1,0,1,1
0,20,2,6,2629,2,0,2,3,2,3,3,29,0,1,2,3,1,1,1,1
3,12,3,4,719,2,3,4,3,2,4,3,41,0,1,1,2,2,0,1,0
0,48,1,5,5096,2,0,2,0,2,3,3,30,1,1,1,0,1,1,1,0
3,9,1,4,1244,4,3,4,0,2,4,0,41,1,2,2,2,1,0,1,1
1,36,3,1,1842,2,2,4,0,2,4,3,34,1,1,1,3,1,1,1,0
0,7,3,7,2576,2,0,2,3,1,2,2,35,1,1,1,3,1,0,1,1
2,12,3,5,1424,4,3,3,0,2,4,2,55,1,1,1,0,1,1,1,1
0,15,2,8,1512,3,0,3,2,2,3,0,61,2,1,2,3,1,0,1,0
3,36,1,2,11054,4,0,4,3,2,2,3,30,1,1,1,0,1,1,1,1
3,6,3,7,518,2,0,3,0,2,1,2,29,1,1,1,3,1,0,1,1
3,12,4,5,2759,2,3,2,3,2,4,0,34,1,1,2,3,1,0,1,1
3,24,3,2,2670,2,3,4,3,2,4,3,35,1,1,1,0,1,1,1,1
1,24,3,1,4817,2,1,2,3,0,3,0,31,1,1,1,3,1,1,1,0
3,24,3,2,2679,2,2,4,0,2,1,1,29,1,1,1,0,1,1,1,1
1,11,1,1,3905,2,0,2,3,2,2,2,36,1,2,2,3,2,0,1,1
1,12,3,2,3386,2,3,3,3,2,4,1,35,1,0,1,3,1,1,1,0
1,6,3,0,343,2,2,4,0,2,1,2,27,1,1,1,3,1,0,1,1
3,18,3,7,4594,2,2,3,3,2,2,3,32,1,1,1,3,1,1,1,1
1,36,3,5,3620,2,0,1,3,1,2,0,37,1,1,1,3,2,0,1,1
1,15,3,1,1721,2,2,2,3,2,3,2,36,1,1,1,3,1,0,1,1
0,12,3,5,3017,2,2,3,0,2,1,2,34,1,2,1,0,1,0,1,1
0,12,3,9,754,4,3,4,3,2,4,0,38,1,1,2,3,1,0,1,1
3,18,3,3,1950,2,1,4,3,2,1,3,34,2,1,2,3,1,1,1,1
1,24,3,2,2924,2,0,3,3,1,4,1,63,0,1,1,3,2,1,1,1
1,24,2,7,1659,2,2,4,0,2,2,3,29,1,2,1,2,1,1,1,0
3,48,2,7,7238,4,3,3,3,2,3,3,32,0,1,2,3,2,0,1,1
3,33,2,3,2764,2,0,2,0,2,2,3,26,1,1,2,3,1,1,1,1
3,24,2,2,4679,2,1,3,3,2,3,3,35,1,1,2,2,1,1,1,1
0,24,3,7,3092,0,2,3,2,2,2,3,22,1,2,1,3,1,1,1,0
1,6,3,4,448,2,2,4,0,2,4,0,23,1,1,1,3,1,0,1,0
1,9,3,1,654,2,0,4,3,2,3,3,28,1,1,1,2,1,0,1,0
3,6,3,9,1238,4,4,4,3,2,4,0,36,1,1,1,0,2,1,1,1
0,18,1,7,1245,2,0,4,2,2,2,3,33,1,1,1,3,1,0,1,0
1,18,4,5,3114,2,2,1,0,2,4,0,26,1,2,1,3,1,0,1,0
3,39,3,2,2569,1,0,4,3,2,4,3,24,1,1,1,3,1,0,1,1
2,24,3,7,5152,2,1,4,3,2,2,3,25,0,1,1,3,1,0,1,1
0,12,3,3,1037,0,1,3,3,2,4,2,39,1,1,1,2,1,0,1,1
1,15,1,5,1478,2,3,4,3,2,4,3,44,1,1,2,3,2,1,1,1
0,12,1,7,3573,2,0,1,0,2,1,2,23,1,1,1,2,1,0,1,1
0,24,3,1,1201,2,2,4,3,2,1,0,26,1,1,1,3,1,0,1,1
1,30,3,5,3622,3,3,4,0,2,4,0,57,1,2,2,3,1,1,1,1
3,15,2,5,960,3,1,3,0,2,2,0,30,1,1,2,3,1,0,1,1
3,12,1,1,1163,1,0,4,3,2,4,2,44,1,1,1,3,1,1,1,1
0,6,2,1,1209,2,4,4,3,2,4,0,47,1,1,1,0,1,1,1,0
3,12,3,7,3077,2,0,2,3,2,4,3,52,1,1,1,3,1,1,1,1
3,24,3,1,3757,2,3,4,0,0,4,1,62,1,0,1,3,1,1,1,1
3,10,3,1,1418,0,0,3,3,2,2,2,35,1,2,1,2,1,0,0,1
3,6,3,1,3518,2,0,2,3,1,3,0,26,1,2,1,3,1,0,1,1
3,12,1,7,1934,2,3,2,3,2,2,1,26,1,1,2,3,1,0,1,1
0,27,4,3,8318,2,3,2,0,2,4,1,42,1,0,2,0,1,1,1,0
3,6,1,7,1237,0,0,1,0,2,1,0,27,1,1,2,3,1,0,1,1
0,6,3,7,368,4,3,4,3,2,4,0,38,1,1,1,3,1,0,1,1
1,12,1,1,2122,2,0,3,3,2,2,2,39,1,2,2,2,2,0,0,1
1,24,3,5,2996,4,0,2,2,2,4,3,20,1,1,1,3,1,0,1,0
0,36,3,5,9034,0,2,4,3,0,1,1,29,1,2,1,0,1,1,1,0
3,24,1,5,1585,2,1,4,3,2,3,0,40,1,1,2,3,1,0,1,1
0,18,3,7,1301,2,3,4,2,1,2,2,32,1,1,1,2,1,0,1,1
2,6,1,1,1323,0,3,2,1,2,4,3,28,1,1,2,3,2,1,1,1
1,24,3,1,3123,2,2,4,0,2,1,0,27,1,1,1,3,1,0,1,0
1,36,3,2,5493,2,3,2,3,2,4,1,42,1,0,1,3,2,0,1,1
2,9,3,7,1126,0,3,2,1,2,4,2,49,1,1,1,3,1,0,1,1
0,24,1,7,1216,0,2,4,3,2,4,1,38,0,1,2,3,2,0,1,0
1,24,3,1,1207,2,2,4,0,2,4,0,24,1,2,1,3,1,0,1,0
3,10,3,1,1309,4,0,4,3,1,4,0,27,1,1,1,2,1,0,1,0
2,15,1,2,2360,1,0,2,3,2,2,3,36,1,1,1,3,1,1,1,1
0,15,0,1,6850,0,4,1,3,2,2,0,34,1,1,1,0,2,1,1,0
3,24,3,7,1413,2,0,4,2,2,2,0,28,1,1,1,3,1,0,1,1
3,39,3,2,8588,0,3,4,3,2,2,3,45,1,1,1,0,1,1,1,1
1,12,3,1,759,2,1,4,3,2,2,2,26,1,1,1,3,1,0,1,0
3,36,3,2,4686,2,0,2,3,2,2,1,32,1,0,1,0,1,1,1,1
2,15,3,3,2687,2,1,2,3,2,4,0,26,1,2,1,3,1,1,1,1
0,12,2,7,585,2,0,4,2,0,4,2,20,1,2,2,3,1,0,1,1
3,24,3,1,2255,4,2,4,3,2,1,0,54,1,1,1,3,1,0,1,1
1,6,1,1,609,2,1,4,0,2,3,0,37,1,1,2,3,1,0,0,1
1,6,1,1,1361,2,2,2,3,2,4,2,40,1,1,1,2,2,0,0,1
3,36,1,5,7127,2,2,2,0,2,4,0,23,1,2,2,3,1,1,1,0
1,6,3,1,1203,0,3,3,3,2,2,0,43,1,1,1,3,1,1,1,1
3,6,1,7,700,4,3,4,3,2,4,1,36,1,0,2,3,1,0,1,1
3,24,1,8,5507,2,3,3,3,2,4,1,44,1,0,2,3,1,0,1,1
1,18,3,7,3190,2,0,2,0,2,2,2,24,1,1,1,3,1,0,1,0
1,48,4,5,7119,2,0,3,3,2,4,1,53,1,0,2,3,2,0,1,0
3,24,3,2,3488,0,1,3,0,2,4,3,23,1,1,1,3,1,0,1,1
0,18,3,7,1113,2,0,4,0,1,4,2,26,1,1,1,2,2,0,1,1
0,26,3,2,7966,2,2,2,3,2,3,3,30,1,1,2,3,1,0,1,1
3,15,1,4,1532,0,0,4,0,2,3,3,31,1,1,1,3,1,0,1,1
3,4,1,7,1503,2,1,2,3,2,1,2,42,1,1,2,2,2,0,1,1
1,36,3,7,2302,2,0,4,1,2,4,3,31,1,2,1,3,1,0,1,0
1,6,3,1,662,2,2,3,3,2,4,2,41,1,1,1,2,2,1,1,1
0,36,3,4,2273,2,1,3,3,2,1,3,32,1,1,2,3,2,0,1,1
0,15,3,1,2631,0,0,2,0,2,4,3,28,1,2,2,3,1,1,1,0
3,12,2,2,1503,2,0,4,2,2,4,2,41,1,2,1,3,1,0,1,1
3,24,3,7,1311,0,1,4,2,2,3,0,26,1,1,1,3,1,1,1,1
3,24,3,7,3105,4,2,4,3,2,2,3,25,1,1,2,3,1,0,1,1
2,21,1,4,2319,2,2,2,1,2,1,3,33,1,2,1,3,1,0,1,0
1,6,3,1,1374,4,4,4,0,2,3,0,75,1,1,1,0,1,1,1,1
0,18,1,5,3612,2,3,3,0,2,4,0,37,1,1,1,3,1,1,1,1
1,48,3,1,7763,2,3,4,3,2,4,1,42,0,0,1,0,1,0,1,0
2,18,3,5,3049,2,2,1,0,2,1,0,45,2,1,1,2,1,0,1,1
0,12,3,7,1534,2,2,1,2,2,1,2,23,1,2,1,3,1,0,1,0
3,24,2,1,2032,2,3,4,3,2,4,1,60,1,0,2,3,1,1,1,1
1,30,3,5,6350,4,3,4,3,2,4,0,31,1,1,1,3,1,0,1,0
2,18,3,5,2864,2,0,2,3,2,1,2,34,1,1,1,2,2,0,1,0
3,12,1,1,1255,2,3,4,3,2,4,2,61,1,1,2,2,1,0,1,1
1,24,2,1,1333,2,4,4,3,2,2,2,43,1,0,2,3,2,0,1,0
3,24,1,1,2022,2,0,4,0,2,4,3,37,1,1,1,3,1,1,1,1
3,24,3,7,1552,2,1,3,3,2,1,3,32,0,1,1,3,2,0,1,1
1,12,0,7,626,2,0,4,0,2,4,2,24,0,1,1,2,1,0,1,0
3,48,1,2,8858,4,1,2,3,2,1,1,35,1,0,2,3,1,1,1,1
3,12,1,8,996,4,1,4,0,2,4,2,23,1,1,2,3,1,0,1,1
3,6,0,7,1750,1,3,2,3,2,4,0,45,0,1,1,2,2,0,1,1
1,48,3,7,6999,2,1,1,2,1,1,2,34,1,1,2,3,1,1,1,0
0,12,1,1,1995,0,2,4,3,2,1,3,27,1,1,1,3,1,0,1,1
0,9,3,4,1199,2,1,4,0,2,4,0,67,1,1,2,0,1,1,1,1
0,12,3,7,1331,2,2,2,3,2,1,3,22,2,1,1,3,1,0,1,0
0,18,4,1,2278,0,2,3,0,2,3,3,28,1,1,2,3,1,0,1,0
3,21,4,1,5003,4,0,1,0,2,4,0,29,0,1,2,3,1,1,1,0
1,24,0,5,3552,2,1,3,3,2,4,3,27,0,1,1,3,1,0,1,0
0,18,1,5,1928,2,2,2,3,2,2,2,31,1,1,2,2,1,0,1,0
1,24,3,2,2964,4,3,4,3,2,4,1,49,0,0,1,3,2,1,1,1
1,24,0,7,1546,2,1,4,3,1,4,3,24,0,2,1,2,1,0,1,0
2,6,2,7,683,2,2,2,0,2,1,0,29,0,1,1,3,1,0,1,1
0,36,3,1,12389,4,0,1,3,2,4,1,37,1,0,1,3,1,1,1,0
0,24,2,3,4712,4,0,4,3,2,2,0,37,0,1,2,0,1,1,1,1
0,24,2,7,1553,0,1,3,0,2,2,0,23,1,2,2,3,1,1,1,1
1,12,3,1,1372,2,1,2,1,2,3,3,36,1,1,1,3,1,0,1,0
3,24,1,7,2578,3,3,2,3,2,2,3,34,1,1,1,3,1,0,1,1
0,48,3,7,3979,4,1,4,3,2,1,3,41,1,1,2,3,2,1,1,1
1,48,3,7,6758,2,0,3,0,2,2,3,31,1,1,1,3,1,1,1,0
1,24,3,5,3234,2,2,4,0,2,4,2,23,1,2,1,2,1,1,1,0
3,30,1,7,5954,2,1,3,3,0,2,3,38,1,1,1,3,1,0,1,1
3,24,3,2,5433,4,4,2,0,2,4,0,26,1,2,1,0,1,1,1,1
1,15,3,3,806,2,0,4,0,2,4,0,22,1,1,1,2,1,0,1,1
0,9,3,7,1082,2,3,4,3,2,4,3,27,1,1,2,2,1,0,1,1
3,15,1,5,2788,2,1,2,0,0,3,3,24,0,1,2,3,1,0,1,1
0,12,3,7,2930,2,1,2,0,2,1,2,27,1,1,1,3,1,0,1,1
3,24,1,4,1927,4,0,3,0,2,2,3,33,1,1,2,3,1,1,1,1
0,36,1,1,2820,2,2,4,1,2,4,3,27,1,1,2,3,1,0,1,0
3,24,3,9,937,2,2,4,2,2,3,3,27,1,1,2,2,1,0,1,1
0,18,1,1,1056,2,3,3,3,1,3,2,30,0,1,2,3,1,0,1,0
0,12,1,1,3124,2,2,1,3,2,3,2,49,0,1,2,2,2,0,1,1
3,9,3,5,1388,2,0,4,0,2,2,2,26,1,2,1,3,1,0,1,1
0,36,3,8,2384,2,2,4,3,2,1,1,33,1,2,1,2,1,0,1,0
3,12,3,1,2133,4,3,4,0,2,4,1,52,1,0,1,0,1,1,1,1
1,18,3,5,2039,2,0,1,0,2,4,2,20,0,2,1,3,1,0,1,0
1,9,1,1,2799,2,0,2,3,2,2,2,36,1,2,2,3,2,0,1,1
1,12,3,5,1289,2,0,4,3,1,1,0,21,1,1,1,2,1,0,1,1
1,18,3,0,1217,2,0,4,2,2,3,2,47,1,1,1,2,1,1,1,0
1,12,1,5,2246,2,3,3,3,2,3,0,60,1,1,2,3,1,0,1,0
1,12,1,7,385,2,1,4,0,2,3,2,58,1,1,4,2,1,1,1,1
0,24,2,1,1965,4,0,4,0,2,4,3,42,1,2,2,3,1,1,1,1
3,21,3,3,1572,3,3,4,0,2,4,2,36,0,1,1,2,1,0,1,1
0,24,3,1,2718,2,0,3,0,2,4,0,20,1,2,1,2,1,1,1,0
1,24,0,6,1358,4,3,4,3,2,3,3,40,2,1,1,0,1,1,1,0
0,6,0,1,931,0,2,1,0,2,1,0,32,2,1,1,2,1,0,1,0
1,24,3,1,1442,2,1,4,0,2,4,3,23,1,2,2,3,1,0,1,0
0,24,4,3,4241,2,0,1,3,2,4,2,36,1,1,3,2,1,1,1,0
3,18,1,1,2775,2,1,2,3,2,2,0,31,0,1,2,3,1,0,1,0
